#Sim.	dt_gp	sig_eps	sig_f	ell	int_t_s	int_u	int_du
SMC	--	--	--	--	16.316586	14.782954	82.044341
2a	0.002	0.2	0.5	0.01	19.20213	13.79710	23.43186
2b	0.002	0.2	0.5	0.05	18.21698	13.85441	24.15083
2c	0.002	0.2	0.5	0.25	16.77487	13.86665	24.91464
2d	0.002	0.2	1	0.01	21.31827	13.79007	24.23798
2e	0.002	0.2	1	0.05	20.78822	13.82333	24.57868
2f	0.002	0.2	1	0.25	19.29845	13.85923	24.75847
2g	0.002	0.2	1.5	0.01	21.76696	13.78060	24.29384
2h	0.002	0.2	1.5	0.05	21.44373	13.80762	24.52525
2i	0.002	0.2	1.5	0.25	20.02557	13.85733	24.33673
3a	0.002	1	0.5	0.01	3.91127	14.13122	91.69858
3b	0.002	1	0.5	0.05	4.97024	14.40683	150.82278
3c	0.002	1	0.5	0.25	5.36056	14.47952	171.18910
3d	0.002	1	1	0.01	7.71853	13.93643	50.10493
3e	0.002	1	1	0.05	7.27604	14.01826	61.23743
3f	0.002	1	1	0.25	7.94774	14.15956	102.32345
3g	0.002	1	1.5	0.01	15.19508	13.81437	23.97193
3h	0.002	1	1.5	0.05	14.13342	13.86516	24.99709
3i	0.002	1	1.5	0.25	13.18457	13.88062	25.36135
4a	0.002	5	0.5	0.01	11.64928	14.46290	78.18899
4b	0.002	5	0.5	0.05	11.64122	14.50921	78.21782
4c	0.002	5	0.5	0.25	11.63844	14.51515	78.21695
4d	0.002	5	1	0.01	6.58142	14.21182	76.97268
4e	0.002	5	1	0.05	6.64892	14.27176	86.59551
4f	0.002	5	1	0.25	6.64948	14.28246	87.47016
4g	0.002	5	1.5	0.01	4.30491	14.10470	81.72238
4h	0.002	5	1.5	0.05	4.50847	14.18556	102.21934
4i	0.002	5	1.5	0.25	4.55230	14.20036	105.29852
5a	0.2	0.2	0.5	0.01	2.74716	13.94755	68.59183
5b	0.2	0.2	0.5	0.05	7.43243	14.07757	62.69553
5c	0.2	0.2	0.5	0.25	13.64112	14.53610	80.58521
5d	0.2	0.2	1	0.01	2.40148	13.90200	72.38039
5e	0.2	0.2	1	0.05	5.69703	13.99135	58.90663
5f	0.2	0.2	1	0.25	10.74877	14.30480	74.44936
5g	0.2	0.2	1.5	0.01	2.29566	13.88724	103.44135
5h	0.2	0.2	1.5	0.05	3.79801	13.97735	65.27933
5i	0.2	0.2	1.5	0.25	9.15036	14.15077	66.13604
6a	0.2	1	0.5	0.01	6.39181	14.14208	71.42275
6b	0.2	1	0.5	0.05	12.74840	14.45352	79.00527
6c	0.2	1	0.5	0.25	16.69970	14.76508	86.23591
6d	0.2	1	1	0.01	3.88353	14.00772	70.94405
6e	0.2	1	1	0.05	9.38121	14.23767	72.56217
6f	0.2	1	1	0.25	15.40701	14.64677	84.61233
6g	0.2	1	1.5	0.01	3.19222	13.95724	68.74998
6h	0.2	1	1.5	0.05	7.91388	14.10873	66.35299
6i	0.2	1	1.5	0.25	14.53883	14.52511	79.86869
7a	0.2	5	0.5	0.01	12.60820	14.52336	78.75751
7b	0.2	5	0.5	0.05	13.67365	14.59742	80.29329
7c	0.2	5	0.5	0.25	13.93847	14.60919	80.72469
7d	0.2	5	1	0.01	8.31508	14.25339	75.41196
7e	0.2	5	1	0.05	10.94217	14.39759	79.04800
7f	0.2	5	1	0.25	11.57521	14.43953	79.84918
7g	0.2	5	1.5	0.01	6.36897	14.13764	73.32779
7h	0.2	5	1.5	0.05	9.64790	14.29976	78.16517
7i	0.2	5	1.5	0.25	10.64963	14.35628	78.82819
8a	1	0.2	0.5	0.01	5.33722	14.03931	65.88166
8b	1	0.2	0.5	0.05	8.99602	14.23140	71.73008
8c	1	0.2	0.5	0.25	14.59647	14.65105	83.41845
8d	1	0.2	1	0.01	3.10020	13.98869	69.47627
8e	1	0.2	1	0.05	8.35826	14.16467	73.36050
8f	1	0.2	1	0.25	11.04445	14.46271	81.46529
8g	1	0.2	1.5	0.01	3.45586	13.97297	67.94910
8h	1	0.2	1.5	0.05	7.58346	14.09788	69.88250
8i	1	0.2	1.5	0.25	9.47332	14.38340	79.87872
9a	1	1	0.5	0.01	7.94938	14.22161	74.66783
9b	1	1	0.5	0.05	13.42311	14.52768	80.41765
9c	1	1	0.5	0.25	16.35405	14.77873	82.48963
9d	1	1	1	0.01	5.67277	14.07242	71.50049
9e	1	1	1	0.05	9.76544	14.31308	77.72293
9f	1	1	1	0.25	16.13476	14.65938	80.28194
9g	1	1	1.5	0.01	4.36749	14.02218	70.21426
9h	1	1	1.5	0.05	7.95023	14.20942	75.12983
9i	1	1	1.5	0.25	15.49886	14.58287	79.26076
10a	1	5	0.5	0.01	12.69814	14.52478	79.05252
10b	1	5	0.5	0.05	13.65870	14.58126	80.17960
10c	1	5	0.5	0.25	13.91859	14.60602	79.64919
10d	1	5	1	0.01	8.67965	14.27146	75.65605
10e	1	5	1	0.05	11.00815	14.38880	77.91499
10f	1	5	1	0.25	11.54439	14.43405	77.79441
10g	1	5	1.5	0.01	7.84030	14.16546	74.08201
10h	1	5	1.5	0.05	10.13112	14.30152	76.82763
10i	1	5	1.5	0.25	10.80870	14.35686	77.75255
